"Setup","Xmas","Punchline"
"Ear","0","Ear you are, I've been waiting."
"Peg","0","Peg your pardon, but would you have any Grey Poupon?"
"Goat","0","Goat find out!"
"Robin","0","Robin you. Hands up!"
"Alaska","0","Alaska one more time – will you please open the door?"
"Eiffel","0","Eiffel down, ouch!"
"Mae","0","Mae I come in please?"
"Ima","0","Ima huff and puff and blow your house down."
"Pizza","0","Pizza great guy, let him in!"
"Iona","0","Iona a dog. Woof!"
"Hugh","0","Hugh who, is anybody home?"
"Omelet","0","Omelet that slide ... this time."
"Bee","0","Bee a dear and answer the door, will you?"
"Gwen","0","Gwen will these jokes ever end?"
"Wafer","0","Been a wafer a while, but now I'm back."
"Erin","0","Erin the tires is what my bike needs."
"Major","0","Major door open, didn't I?"
"Doris","0","Doris is closed, which is why you're knocking."
"Cuckoo","0","Cuckoo-a-joob. I am the walrus."
"Mai","0","Mai the force be with you."
"Ilene","0","Ilene a little when I get tired."
"Toby","0","Toby or not Toby, that is the question."
"Al","0","Al let you know when I answer the door."
"Genoa","0","Genoa good doctor?"
"Howard","0","Good. Howard you?"
"Norma Lee","0","Norma Lee I ring the bell."
"Beets","0","Beets me, go find out for yourself."
"Mint","0","Mint to tell ya I was coming by."
"Newt","0","Not much. What's newt with you?"
"Tuba","0","Tuba toothpaste. Now brush your teeth."
"Mikey","0","Mikey got stolen, that's why I'm knocking."
"Phillip","0","Phillip the pool, I wanna go for a swim."
"Hammond","0","Hammond cheese is my favorite sandwich."
"Kenya","0","Kenya answer the door? All this knocking is driving me crazy!"
"Cook","0","Cook who — are you calling me crazy?"
"Turnip","0","Turn up the music, I love this song."
"Llama","0","Llama find out who's at the door."
"Pooch","0"," Pooch your hat on, it's cold out."
"Diane","0","I'm Diane to come in, open the door."
"Hurley","0","Hurley bird gets the worm."
"Viper","0","Viper nose, it's running. Ew."
"Eddy","0","Eddy body home?"
"Les","0","Les got out to dinner!"
"Waddle","0","Waddle you give me to stop knocking?"
"Barry","0","Barry nice to meet you."
"Ken","0","Ken you lend me a dollar?"
"Irish","0","Irish you a very good day."
"Carmen","0","Carmen answer the door, will ya?"
"Shelly","0","Shelly-brate good times, c'mon!"
"Gorilla","0","Gorilla a burger, I'm hungry."
"Adam","0","Adam dog bit my leg."
"Dublin","0","I'm Dublin down on telling these knock-knock jokes."
"Ale","0","Ale have what she's having."
"Cod","0","Cod you answer the door?"
"Foal","0","Foal me once, shame on you. Foal me twice, shame on me."
"Whale","0","Whale, whale, whale, who do we have here?"
"Bean","0","Bean there, done that."
"Espresso","0","Espresso yourself, then everyone will know how you feel."
"Witch","0","Witch one of you keeps knocking on my door?!"
"Batter","0","Batter late than never."
"Ice scream","0","Ice scream when I get scared, don't you?"
"Brighton","0","Brighton early, that's when I wake up."
"Dora Belle","0","Dora Belle is broken, that's why I'm knocking."
"Dewey","0","Dewey we have to keep telling knock-knock jokes?"
"Aisle","0","Aisle be seeing you soon."
"Will","0","Will you stop with these corny jokes already?"
"Peas","0","Peas and thank you are the magic words."
"Watson","0","Watson on the TV tonight?"
"Duncan","0","Duncan Oreos in milk is my favorite snack."
"Nona","0","Nona your business, that's who."
"Shirley","0","Shirley you must know who I am by now."
"Ivana","0","Ivana suck your blood. Blah, blah, blah."
"Tish","0","Yes, thanks. I just sneezed."
"Annie","0","Annie thing you can do, I can do better."
"Roach","0","I roach you a song, but I forgot the words."
"Auto","0","You auto know it’s me by now."
"Annette","0","Annette is what fishermen use."
"Jewel","0","Jewel be happy to know it’s Friday!"
"Arthur","0","Arthur any more knock-knock jokes?"
"Beak","0","Beak careful, that pan is hot!"
"Tuna","0","Tuna piano if it sounds off-key."
"Wren","0","Wren will these jokes ever end?"
"Waddle","0","Waddle it take to stop knocking?"
"Herd","0","Herd you the first time you knocked."
"S’more","0","S’more jokes on the way."
"Ivanna","0","Ivanna hold your hand."
"Hike","0","I didn’t know you wrote poetry."
"Noah","0","Noah good restaurant around here?"
"Repeat","0","OK ... who, who, who!"
"Yeah","0","Yeah-hoo, I’m excited too!"
"Annie","0","Annie one you want me to be."
"Candice.","0","Candice be over already?"
"Luke","0","Luke for yourself, I’m busy."
"Daryl","0","Daryl never be anyone like you."
"Feline","0","Feline pretty good, thanks for asking."
"Gene","0","Gene in a bottle."
"Colin","0","If you don’t know, then hang up the phone."
"May fourth","0","May the fourth be with you."
"Bear","0","Bear with me, we aren’t done yet."
"Harry","0","Harry up, it’s time to go."
"Earl","0","Earl-y to bed, I have to go to work in the morning."
"Dawn","0","Dawn tell any more knock-knock jokes."
"Knot","0","Knot another knock-knock joke, please!"
"Keith","0","Keith calm and carry on."
"Alamos","0","We're Alamos at the end."
"Dough","0","Dough you wish there were more knock-knock jokes?"
"Boo","0","Don’t cry, it’s just a joke."
"Tank","0","You’re welcome!"
"Isadore","0","Isadore open or shut?"
"Ida","0","Ida know, but you better answer."
"Mustache","0","I mustache you a question!"
"Ben","0","Ben out here knocking forever, let me in!"
"Wayne","0","Wayne dwops keep falling on my head."
"Cat","0","Cat you see I’m knocking on the door?"
"Aida","0","I Aida big dinner and now I’m full."
"Lettuce","0","Lettuce in, it’s cold out here!"
"Says","0","Says me!"
"Olive","0","Olive knock-knock jokes!"
"Amos","0","Amos-quito bit me."
"Goose","0","Goo-see who’s at the door!"
"Harmony","0","Harmony knock-knock jokes can one person tell?"
"Frank","0","Frank you for asking, it's me."
"Sue","0","Sue-prise!"
"Some bunny","0","Some bunny who loves you."
"Yetta.","0","Yetta another knock-knock joke."
"Abby","0","Abby just stung me, ouch!"
"Sia","0","Sia later!"
"Iran","0","Iran all the way home."
"Justin","0","Justin time for dinner."
"Love","0","Aw, love you too!"
"Haven","0","Haven’t you had enough knock-knock jokes?"
"Beats","0","Beats me, go answer the door!"
"No one","0","I just told you. No one."
"Opportunity","0","When opportunity knocks, you answer."
"Teddy","0","Teddy’s my birthday. Woohoo!"
"Honey","0","Honey, I’m home."
"Quack","0","There’s a quack in my butt."
"Warrior","0","Warrior you been? You’re late!"
"Mary","0","Mary me, I love you."
"Abby","0","Abby Birthday."
"Lass","0","Round ‘em up cowboy!"
"Ketchup","0","Ketchup with you later."
"Amanda","0","A-man-da fix the door."
"Sarah","0","Sarah doctor in the house?"
"Anita","0","Anita dentist, I have a toothache."
"Doggone","0","I don't know, but we'd better find him."
"Lena","0","Lena a bit closer, I have something to tell you."
"Dora","0","Dora’s open, come on in."
"Beth","0","Beth wishes on your birthday."
"Butter","0","Butter be quick, we’re late!"
"Anita","0","Anita use the bathroom. Hurry up!"

